Código,Nome Município,SC_BAHIA,TURISMO,CATEGORIA,Habitantes,Porcentagem de Casos
291750,Jacobina,37,1,3,83635,0.0442398517367131
291760,Jaguaquara,13,0,0,56033,0.0232006139239377
291770,Jaguarari,16,0,0,34499,0.0463781558885765
291780,Jaguaripe,9,0,0,19036,0.0472788400924564
291790,Jandaíra,23,1,2,11120,0.206834532374101
291800,Jequié,184,1,4,162209,0.1134339031743
291810,Jeremoabo,13,0,0,41605,0.0312462444417738
291820,Jiquiriçá,8,1,2,15106,0.0529590891036674
291830,Jitaúna,6,0,0,12692,0.0472738733060195
291835,João Dourado,19,0,0,25646,0.0740856273882867
291840,Juazeiro,405,1,4,221773,0.182619164641322
291845,Jucuruçu,4,0,0,9924,0.0403063280935107
291850,Jussara,3,0,0,16006,0.0187429713857304
291855,Jussari,1,0,0,6275,0.0159362549800797
291860,Jussiape,0,1,2,7066,0.0
291870,Lafaiete Coutinho,1,0,0,3975,0.0251572327044025
291875,Lagoa Real,2,0,0,16029,0.0124773847401585
291880,Laje,8,0,0,24306,0.0329136838640665
291890,Lajedão,2,0,0,4068,0.0491642084562439
291900,Lajedinho,0,0,0,4017,0.0
291905,Lajedo do Tabocal,1,0,0,8886,0.0112536574386676
291910,Lamarão,1,0,0,9007,0.011102475852115
291915,Lapão,6,0,0,28244,0.0212434499362696
291920,Lauro de Freitas,203,1,3,197636,0.102714080430691
291930,Lençóis,4,1,4,11636,0.0343760742523204
291940,Licínio de Almeida,4,0,0,12969,0.030842778934382
291950,Livramento de Nossa Senhora,3,0,0,46739,0.00641862256359785
291955,Luís Eduardo Magalhães,16,0,0,83557,0.0191486051437941
291960,Macajuba,2,0,0,11879,0.0168364340432696
291970,Macarani,6,0,0,19110,0.0313971742543171
291980,Macaúbas,0,0,0,50987,0.0
291990,Macururé,3,0,0,8266,0.0362932494556013
291992,Madre de Deus,8,1,2,21007,0.0380825439139334
291995,Maetinga,1,0,0,4456,0.0224416517055655
292000,Maiquinique,2,0,0,10274,0.019466614755694
292010,Mairi,11,0,0,19695,0.0558517390200559
292020,Malhada,2,0,0,17526,0.0114116170261326
292030,Malhada de Pedras,0,0,0,8856,0.0
292040,Manoel Vitorino,8,0,0,14251,0.0561364114798961
292045,Mansidão,3,0,0,13959,0.021491510853213
292050,Maracás,7,1,2,23018,0.0304109827091841
292060,Maragogipe,11,1,3,46260,0.0237786424556853
292070,Maraú,5,1,4,21313,0.0234598601792333
292080,Marcionílio Souza,0,0,0,10931,0.0
292090,Mascote,4,0,0,14728,0.0271591526344378
292100,Mata de São João,30,1,5,46998,0.0638325035107877
292105,Matina,3,0,0,12488,0.0240230621396541
292110,Medeiros Neto,21,0,0,23586,0.0890358687356907
292120,Miguel Calmon,4,1,2,27520,0.0145348837209302
292130,Milagres,8,1,2,11585,0.0690548122572292
